nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,produto_das_lavouras_permanentes_codigo,produto_das_lavouras_permanentes
6,Município,1012,Mil Cruzeiros,76,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2727,Coco-da-baía*
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2728,Dendê (cacho de coco)
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2729,Erva-mate (folha verde)
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2730,Figo
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2731,Goiaba
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2732,Guaraná (semente)
6,Município,1012,Mil Cruzeiros,432,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2733,Laranja
6,Município,1012,Mil Cruzeiros,37,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2734,Limão
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2735,Maçã
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2736,Mamão
6,Município,1012,Mil Cruzeiros,420,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2737,Manga
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2738,Maracujá
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2739,Marmelo
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2740,Noz (fruto seco)
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,90001,Palmito
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2741,Pera
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2742,Pêssego
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2743,Pimenta-do-reino
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2744,Sisal ou agave (fibra)
6,Município,1012,Mil Cruzeiros,45,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2745,Tangerina
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2746,Tungue (fruto seco)
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2747,Urucum (semente)
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2748,Uva
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,2313,Área destinada à colheita,0,Total
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,2313,Área destinada à colheita,2717,Abacate
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,2313,Área destinada à colheita,2718,Algodão arbóreo (em caroço)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,2313,Área destinada à colheita,45981,Açaí
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,2313,Área destinada à colheita,2719,Azeitona
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,2313,Área destinada à colheita,2720,Banana (cacho)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,2313,Área destinada à colheita,2721,Borracha (látex coagulado)
